[2025-11-07 13:54:18]  开始计算曲率，总节点数: 19717, 设备: cuda
[2025-11-07 13:54:21]  已保存进度：节点 100/19717
[2025-11-07 13:54:41]  已保存进度：节点 700/19717
[2025-11-07 13:54:46]  已保存进度：节点 900/19717
[2025-11-07 13:54:55]  已保存进度：节点 1200/19717
[2025-11-07 13:55:04]  已保存进度：节点 1300/19717
[2025-11-07 13:55:12]  已保存进度：节点 1500/19717
[2025-11-07 13:55:15]  已保存进度：节点 1600/19717
[2025-11-07 13:55:22]  已保存进度：节点 1800/19717
[2025-11-07 13:55:26]  已保存进度：节点 1900/19717
[2025-11-07 13:55:40]  已保存进度：节点 2200/19717
[2025-11-07 13:55:42]  已保存进度：节点 2300/19717
[2025-11-07 13:55:57]  已保存进度：节点 2600/19717
[2025-11-07 13:55:59]  已保存进度：节点 2700/19717
[2025-11-07 13:56:07]  已保存进度：节点 3000/19717
[2025-11-07 13:56:21]  已保存进度：节点 3400/19717
[2025-11-07 13:56:26]  已保存进度：节点 3600/19717
[2025-11-07 13:56:29]  已保存进度：节点 3700/19717
[2025-11-07 13:56:32]  已保存进度：节点 3800/19717
[2025-11-07 13:56:35]  已保存进度：节点 3900/19717
[2025-11-07 13:56:41]  已保存进度：节点 4100/19717
[2025-11-07 13:56:48]  已保存进度：节点 4300/19717
[2025-11-07 13:56:50]  已保存进度：节点 4400/19717
[2025-11-07 13:57:00]  已保存进度：节点 4600/19717
[2025-11-07 13:57:04]  已保存进度：节点 4800/19717
[2025-11-07 13:57:07]  已保存进度：节点 4900/19717
[2025-11-07 13:57:11]  已保存进度：节点 5000/19717
[2025-11-07 13:57:14]  已保存进度：节点 5100/19717
[2025-11-07 13:57:15]  已保存进度：节点 5200/19717
[2025-11-07 13:57:33]  已保存进度：节点 5600/19717
[2025-11-07 13:57:36]  已保存进度：节点 5700/19717
[2025-11-07 13:57:38]  已保存进度：节点 5800/19717
[2025-11-07 13:57:40]  已保存进度：节点 5900/19717
[2025-11-07 13:57:42]  已保存进度：节点 6000/19717
[2025-11-07 13:57:45]  已保存进度：节点 6100/19717
[2025-11-07 13:57:47]  已保存进度：节点 6200/19717
[2025-11-07 13:57:55]  已保存进度：节点 6500/19717
[2025-11-07 13:57:59]  已保存进度：节点 6600/19717
[2025-11-07 13:58:07]  已保存进度：节点 6800/19717
[2025-11-07 13:58:09]  已保存进度：节点 6900/19717
[2025-11-07 13:58:13]  已保存进度：节点 7100/19717
[2025-11-07 13:58:18]  已保存进度：节点 7200/19717
[2025-11-07 13:58:20]  已保存进度：节点 7300/19717
[2025-11-07 13:58:25]  已保存进度：节点 7400/19717
[2025-11-07 13:58:31]  已保存进度：节点 7700/19717
[2025-11-07 13:58:40]  已保存进度：节点 7900/19717
[2025-11-07 13:58:48]  已保存进度：节点 8100/19717
[2025-11-07 13:58:50]  已保存进度：节点 8200/19717
[2025-11-07 13:58:53]  已保存进度：节点 8300/19717
[2025-11-07 13:58:59]  已保存进度：节点 8400/19717
[2025-11-07 13:59:01]  已保存进度：节点 8500/19717
[2025-11-07 13:59:04]  已保存进度：节点 8600/19717
[2025-11-07 13:59:19]  已保存进度：节点 9000/19717
[2025-11-07 13:59:25]  已保存进度：节点 9200/19717
[2025-11-07 13:59:29]  已保存进度：节点 9300/19717
[2025-11-07 13:59:31]  已保存进度：节点 9400/19717
[2025-11-07 13:59:51]  已保存进度：节点 10000/19717
[2025-11-07 13:59:56]  已保存进度：节点 10200/19717
[2025-11-07 14:00:09]  已保存进度：节点 10500/19717
[2025-11-07 14:00:13]  已保存进度：节点 10600/19717
[2025-11-07 14:00:16]  已保存进度：节点 10700/19717
[2025-11-07 14:00:20]  已保存进度：节点 10800/19717
[2025-11-07 14:00:23]  已保存进度：节点 10900/19717
[2025-11-07 14:00:24]  已保存进度：节点 11000/19717
[2025-11-07 14:00:38]  已保存进度：节点 11100/19717
[2025-11-07 14:00:42]  已保存进度：节点 11300/19717
[2025-11-07 14:00:48]  已保存进度：节点 11400/19717
[2025-11-07 14:01:07]  已保存进度：节点 11500/19717
[2025-11-07 14:01:11]  已保存进度：节点 11700/19717
[2025-11-07 14:01:12]  已保存进度：节点 11800/19717
[2025-11-07 14:01:28]  已保存进度：节点 11900/19717
[2025-11-07 14:01:30]  已保存进度：节点 12000/19717
[2025-11-07 14:01:41]  已保存进度：节点 12100/19717
[2025-11-07 14:01:43]  已保存进度：节点 12200/19717
[2025-11-07 14:02:00]  已保存进度：节点 12700/19717
[2025-11-07 14:02:01]  已保存进度：节点 12800/19717
[2025-11-07 14:02:07]  已保存进度：节点 13100/19717
[2025-11-07 14:02:15]  已保存进度：节点 13400/19717
[2025-11-07 14:02:17]  已保存进度：节点 13500/19717
[2025-11-07 14:02:25]  已保存进度：节点 13700/19717
[2025-11-07 14:02:27]  已保存进度：节点 13800/19717
[2025-11-07 14:02:52]  已保存进度：节点 14500/19717
[2025-11-07 14:02:59]  已保存进度：节点 14700/19717
[2025-11-07 14:03:05]  已保存进度：节点 14800/19717
[2025-11-07 14:03:08]  已保存进度：节点 14900/19717
[2025-11-07 14:03:17]  已保存进度：节点 15300/19717
[2025-11-07 14:03:34]  已保存进度：节点 15800/19717
[2025-11-07 14:03:44]  已保存进度：节点 16000/19717
[2025-11-07 14:03:53]  已保存进度：节点 16400/19717
[2025-11-07 14:04:10]  已保存进度：节点 17000/19717
[2025-11-07 14:04:17]  已保存进度：节点 17100/19717
[2025-11-07 14:04:22]  已保存进度：节点 17200/19717
[2025-11-07 14:04:23]  已保存进度：节点 17300/19717
[2025-11-07 14:04:25]  已保存进度：节点 17400/19717
[2025-11-07 14:04:30]  已保存进度：节点 17500/19717
[2025-11-07 14:04:31]  已保存进度：节点 17600/19717
[2025-11-07 14:04:34]  已保存进度：节点 17700/19717
[2025-11-07 14:04:42]  已保存进度：节点 17900/19717
[2025-11-07 14:04:46]  已保存进度：节点 18100/19717
[2025-11-07 14:04:48]  已保存进度：节点 18200/19717
[2025-11-07 14:04:49]  已保存进度：节点 18300/19717
[2025-11-07 14:04:51]  已保存进度：节点 18400/19717
[2025-11-07 14:05:15]  已保存进度：节点 18800/19717
[2025-11-07 14:05:25]  已保存进度：节点 18900/19717
[2025-11-07 14:05:32]  已保存进度：节点 19300/19717
[2025-11-07 14:05:33]  已保存进度：节点 19400/19717
[2025-11-07 14:05:33]  曲率计算完成，结果已保存 curvature_final.pt
[2025-11-07 14:05:33]  结果统计：mean=0.014811, min=-0.501564, max=0.319251, 无效比=0.00%
